지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
926,2018-01-01 00:00,-2.9,345.3,.6,0,,,,0,0
926,2018-01-01 01:00,-4,135.6,.5,0,,,,0,0
926,2018-01-01 02:00,-4,0,.2,0,,,,0,0
926,2018-01-01 03:00,-4.6,0,.3,0,,,,0,0
926,2018-01-01 04:00,-4.5,359.3,.9,0,,,,0,0
926,2018-01-01 05:00,-4.9,0,.2,0,,,,0,0
926,2018-01-01 06:00,-5.7,1.1,.5,0,,,,0,0
926,2018-01-01 07:00,-5.9,0,.1,0,,,,0,0
926,2018-01-01 08:00,-6,0,.3,0,,,,0,0
926,2018-01-01 09:00,-.4,.4,1.2,0,,,,0,0
926,2018-01-01 10:00,1.6,11.5,2.1,0,,,,0,0
926,2018-01-01 11:00,3.4,337.5,3.2,0,,,,0,0
926,2018-01-01 12:00,4.7,325.6,3.6,0,,,,0,0
926,2018-01-01 13:00,5.1,325.4,4,0,,,,0,0
926,2018-01-01 14:00,6.2,335.3,3.8,0,,,,0,0
926,2018-01-01 15:00,7.3,321.3,3.2,0,,,,0,0
926,2018-01-01 16:00,7.1,314.4,2.4,0,,,,0,0
926,2018-01-01 17:00,4.9,319.9,2.7,0,,,,0,0
926,2018-01-01 18:00,1,31.8,.5,0,,,,0,0
926,2018-01-01 19:00,.9,338.3,1.8,0,,,,0,0
926,2018-01-01 20:00,-1,0,.4,0,,,,0,0
926,2018-01-01 21:00,.9,343.4,2,0,,,,0,0
926,2018-01-01 22:00,-1.7,358.7,.6,0,,,,0,0
926,2018-01-01 23:00,-3.1,352.7,.5,0,,,,0,0
926,2018-01-02 00:00,-1.7,337.5,1.4,0,,,,0,0
926,2018-01-02 01:00,-3.9,0,.2,0,,,,0,0
926,2018-01-02 02:00,-4.4,0,.3,0,,,,0,0
926,2018-01-02 03:00,-5.6,0,0,0,,,,0,0
926,2018-01-02 04:00,-4.6,157.1,.5,0,,,,0,0
926,2018-01-02 05:00,-4.9,0,.2,0,,,,0,0
926,2018-01-02 06:00,-5.5,0,0,0,,,,0,0
926,2018-01-02 07:00,-4.8,0,.1,0,,,,0,0
926,2018-01-02 08:00,-5.2,0,.2,0,,,,0,0
926,2018-01-02 09:00,-2.3,0,.2,0,,,,0,0
926,2018-01-02 10:00,2.6,178.3,1.8,0,,,,0,0
926,2018-01-02 11:00,6.2,168,1.1,0,,,,0,0
926,2018-01-02 12:00,7.9,318.7,3,0,,,,0,0
926,2018-01-02 13:00,8.5,243.6,2.4,0,,,,0,0
926,2018-01-02 14:00,9.1,285.9,3.6,0,,,,0,0
926,2018-01-02 15:00,9.5,316.2,3.6,0,,,,0,0
926,2018-01-02 16:00,9.3,307.8,2,0,,,,0,0
926,2018-01-02 17:00,7.6,319.7,2.9,0,,,,0,0
926,2018-01-02 18:00,6.2,328.6,3.5,0,,,,0,0
926,2018-01-02 19:00,6.2,323.5,3.9,0,,,,0,0
926,2018-01-02 20:00,5.8,317.7,2.1,0,,,,0,0
926,2018-01-02 21:00,4,149.1,1,0,,,,0,0
926,2018-01-02 22:00,2,348.5,1.9,0,,,,0,0
926,2018-01-02 23:00,.7,19,1.2,0,,,,0,0
926,2018-01-03 00:00,-1.2,23,.9,0,,,,0,0
926,2018-01-03 01:00,.3,350.4,1.5,0,,,,0,0
926,2018-01-03 02:00,-1.9,326.1,.5,0,,,,0,0
926,2018-01-03 03:00,-1.4,326.8,.8,0,,,,0,0
926,2018-01-03 04:00,.5,330.9,2.9,0,,,,0,0
926,2018-01-03 05:00,-.3,338.2,1.3,0,,,,0,0
926,2018-01-03 06:00,-.7,338.4,2,0,,,,0,0
926,2018-01-03 07:00,-.7,326.9,3.8,0,,,,0,0
926,2018-01-03 08:00,-.5,356.4,2.5,0,,,,0,0
926,2018-01-03 09:00,.2,3.3,2.6,0,,,,0,0
926,2018-01-03 10:00,1.6,328.4,5.5,0,,,,0,0
926,2018-01-03 11:00,3.6,326.6,3.6,0,,,,0,0
926,2018-01-03 12:00,4.2,341,3.7,0,,,,0,0
926,2018-01-03 13:00,5.2,340.2,3.5,0,,,,0,0
926,2018-01-03 14:00,5.9,319.5,3.9,0,,,,0,0
926,2018-01-03 15:00,6.2,330,3.3,0,,,,0,0
926,2018-01-03 16:00,5.8,336.8,4.2,0,,,,0,0
926,2018-01-03 17:00,3.8,325.4,3.7,0,,,,0,0
926,2018-01-03 18:00,2.3,339.1,2.5,0,,,,0,0
926,2018-01-03 19:00,1.6,328.3,3.5,0,,,,0,0
926,2018-01-03 20:00,1.1,348.6,2.9,0,,,,0,0
926,2018-01-03 21:00,.2,338.7,2.1,0,,,,0,0
