지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
327,2017-01-01 00:00,1.3,0,.1,0,,,92.7,3.78,0
327,2017-01-01 01:00,1,0,.1,0,,,92.1,0,0
327,2017-01-01 02:00,1.1,0,0,0,,,93,0,0
327,2017-01-01 03:00,-.3,0,0,0,,,93.5,0,0
327,2017-01-01 04:00,-.1,0,.2,0,,,95,0,0
327,2017-01-01 05:00,-.2,0,.2,0,,,95,0,0
327,2017-01-01 06:00,-1.1,0,0,0,,,95,0,0
327,2017-01-01 07:00,-1.7,0,0,0,,,95,0,0
327,2017-01-01 08:00,-.9,0,.1,0,,,95,0,0
327,2017-01-01 09:00,-.1,0,0,0,,,95,.18,0
327,2017-01-01 10:00,1.3,26.2,.5,0,,,95,.48,0
327,2017-01-01 11:00,2.7,0,0,0,,,90.9,1.03,0
327,2017-01-01 12:00,5.6,191.3,1.3,0,,,73.9,2.1,0
327,2017-01-01 13:00,6.4,187.3,1.5,0,,,69.7,2.97,0
327,2017-01-01 14:00,7.2,152.9,1.1,0,,,65.3,3.89,0
327,2017-01-01 15:00,7.4,0,.3,0,,,63.9,4.47,0
327,2017-01-01 16:00,6,0,.2,0,,,74.3,4.9,0
327,2017-01-01 17:00,4.4,292.5,.6,0,,,80.4,4.89,0
327,2017-01-01 18:00,3.4,0,.3,0,,,84.8,4.94,0
327,2017-01-01 19:00,2.5,0,.2,0,,,87.6,4.89,0
327,2017-01-01 20:00,2.2,0,.1,0,,,86.9,4.94,0
327,2017-01-01 21:00,2,0,.3,0,,,87.6,4.89,0
327,2017-01-01 22:00,1.5,0,.2,0,,,89.8,4.94,0
327,2017-01-01 23:00,2.1,0,.1,0,,,89.5,4.89,0
327,2017-01-02 00:00,2,0,0,0,,,88.7,4.94,0
327,2017-01-02 01:00,2.4,0,0,0,,,88.9,0,0
327,2017-01-02 02:00,1.7,0,.4,0,,,90.2,0,0
327,2017-01-02 03:00,-.1,0,.1,0,,,92.9,0,0
327,2017-01-02 04:00,.3,0,0,0,,,94.2,0,0
327,2017-01-02 05:00,.9,0,0,0,,,93.2,0,0
327,2017-01-02 06:00,1.4,0,.3,0,,,93.3,0,0
327,2017-01-02 07:00,1.9,0,0,0,,,93.1,0,0
327,2017-01-02 08:00,2.2,55.1,.5,0,,,91.8,0,0
327,2017-01-02 09:00,2.5,180,.7,0,,,88.9,.16,0
327,2017-01-02 10:00,3.7,186.8,1,0,,,85,.83,0
327,2017-01-02 11:00,5.6,181.9,1.3,0,,,76,1.49,0
327,2017-01-02 12:00,6.7,169.5,1.2,0,,,71.5,1.69,0
327,2017-01-02 13:00,7.9,136.7,1,0,,,69.9,2.17,0
327,2017-01-02 14:00,9.2,144.6,.9,0,,,66.8,2.47,0
327,2017-01-02 15:00,9.9,172.8,1.1,0,,,66.2,2.64,0
327,2017-01-02 16:00,9.9,138.5,1.6,0,,,65.6,3.04,0
327,2017-01-02 17:00,7.8,174.6,.7,0,,,75.5,2.97,0
327,2017-01-02 18:00,7.9,33.1,.5,0,,,79.5,3.08,0
327,2017-01-02 19:00,6.4,69.5,.5,0,,,78.5,2.97,0
327,2017-01-02 20:00,5.2,28,.5,0,,,85.7,3.08,0
327,2017-01-02 21:00,3.6,323.1,.6,0,,,88,2.97,0
327,2017-01-02 22:00,3.9,0,.2,0,,,90.7,3.08,0
327,2017-01-02 23:00,2.2,0,.4,0,,,91.2,2.97,0
327,2017-01-03 00:00,1.6,0,.4,0,,,92.2,3.08,0
327,2017-01-03 01:00,1.2,290,.7,0,,,92.6,0,0
327,2017-01-03 02:00,.3,0,.3,0,,,93.7,0,0
327,2017-01-03 03:00,-.4,0,0,0,,,94.3,0,0
327,2017-01-03 04:00,-.9,0,.1,0,,,94.8,0,0
327,2017-01-03 05:00,-1.3,0,.1,0,,,95,0,0
327,2017-01-03 06:00,-1.4,0,.3,0,,,95,0,0
327,2017-01-03 07:00,-1.3,0,.3,0,,,95,0,0
327,2017-01-03 08:00,-1.7,0,.3,0,,,95,0,0
327,2017-01-03 09:00,-.6,0,0,0,,,95,.16,0
327,2017-01-03 10:00,2.2,136.9,.5,0,,,91.9,.89,0
327,2017-01-03 11:00,3.7,178.4,1.1,0,,,72.9,1.64,0
327,2017-01-03 12:00,5.1,126.5,.9,0,,,64.7,2.75,0
327,2017-01-03 13:00,6.5,111.9,1.8,0,,,50.6,3.68,0
327,2017-01-03 14:00,6.6,163.2,1,0,,,53.6,4.66,0
327,2017-01-03 15:00,7.5,55.3,.6,0,,,51.5,5.28,0
327,2017-01-03 16:00,5.3,0,.4,0,,,66.2,5.71,0
327,2017-01-03 17:00,3.8,293.8,.8,0,,,73.2,5.87,0
327,2017-01-03 18:00,2.4,0,.4,0,,,79.1,5.75,0
327,2017-01-03 19:00,1.6,0,.1,0,,,83.7,5.87,0
327,2017-01-03 20:00,1,0,.3,0,,,87.5,5.75,0
327,2017-01-03 21:00,.7,0,0,0,,,89.4,5.87,0
327,2017-01-03 22:00,-.2,0,.2,0,,,91.4,5.75,0
327,2017-01-03 23:00,-.2,0,.1,0,,,92.6,5.87,0
327,2017-01-04 00:00,-1,0,0,0,,,93.1,5.75,0
327,2017-01-04 01:00,-.9,0,.3,0,,,94.1,0,0
327,2017-01-04 02:00,-.9,0,.1,0,,,94.5,0,0
327,2017-01-04 03:00,.5,0,.1,0,,,94.3,0,0
327,2017-01-04 04:00,.7,0,.2,0,,,93.2,0,0
327,2017-01-04 05:00,1.1,0,.2,0,,,91.5,0,0
327,2017-01-04 06:00,1.3,0,0,0,,,90.7,0,0
327,2017-01-04 07:00,1.4,0,0,0,,,90.6,0,0
327,2017-01-04 08:00,1.1,0,.1,0,,,91.2,0,0
327,2017-01-04 09:00,1.9,25.9,.8,0,,,90.7,.11,0
327,2017-01-04 10:00,3.1,26.3,.6,0,,,83.5,.48,0
327,2017-01-04 11:00,4.7,184.2,1.2,0,,,78.6,.99,0
327,2017-01-04 12:00,6.2,175.3,1.3,0,,,72.8,1.51,0
327,2017-01-04 13:00,7.4,157.3,1.2,0,,,70.7,2.15,0
327,2017-01-04 14:00,8.1,127.5,1.2,0,,,63.2,2.84,0
327,2017-01-04 15:00,8.9,107.6,.8,0,,,52.3,3.47,0
327,2017-01-04 16:00,6.6,54.8,.5,0,,,64.9,3.9,0
327,2017-01-04 17:00,4.9,292.4,.7,0,,,67.5,3.86,0
327,2017-01-04 18:00,3,0,.3,0,,,72.4,3.96,0
327,2017-01-04 19:00,2.1,0,.4,0,,,71.6,3.86,0
327,2017-01-04 20:00,1.3,0,.2,0,,,72.5,3.96,0
327,2017-01-04 21:00,.4,0,.2,0,,,74.9,3.86,0
327,2017-01-04 22:00,0,0,.1,0,,,73.2,3.96,0
327,2017-01-04 23:00,-.5,0,.3,0,,,77.2,3.86,0
327,2017-01-05 00:00,-.3,0,.2,0,,,79.2,3.96,0
327,2017-01-05 01:00,-.5,0,0,0,,,79.5,0,0
327,2017-01-05 02:00,-.2,0,0,0,,,78.7,0,0
327,2017-01-05 03:00,-.6,0,.1,0,,,80,0,0
327,2017-01-05 04:00,-1.1,0,0,0,,,82.9,0,0
327,2017-01-05 05:00,-1,0,.3,0,,,82,0,0
327,2017-01-05 06:00,-1.3,0,0,0,,,83.1,0,0
327,2017-01-05 07:00,-.9,0,.3,0,,,83,0,0
327,2017-01-05 08:00,-1.2,0,0,0,,,84.3,0,0
327,2017-01-05 09:00,.2,0,0,0,,,79.5,.14,0
327,2017-01-05 10:00,1.9,0,.4,0,,,73.9,.42,0
327,2017-01-05 11:00,4.7,34.6,.8,0,,,64.9,-.42,0
327,2017-01-05 12:00,5.8,163,.7,0,,,62.7,.42,0
327,2017-01-05 13:00,7.4,11.9,.6,0,,,57.6,-.42,0
327,2017-01-05 14:00,8.8,,,0,,,58.5,.42,0
327,2017-01-05 15:00,8.5,144.7,1.4,0,,,57.7,-.42,0
327,2017-01-05 16:00,8.2,198,.6,0,,,60,5.62,0
327,2017-01-05 17:00,8,189.8,1,0,,,59.6,-.34,0
327,2017-01-05 18:00,7.4,196.9,1.5,0,,,59.6,5.63,0
327,2017-01-05 19:00,7.1,207.2,2,0,,,60.3,-.34,0
327,2017-01-05 20:00,6.9,201.3,1.5,0,,,62.1,5.63,0
327,2017-01-05 21:00,6.4,192.7,1.5,0,,,61.9,-.34,0
327,2017-01-05 22:00,5.2,287.6,.5,0,,,70.7,5.63,0
327,2017-01-05 23:00,4.9,0,.3,0,,,70.8,-.34,0
327,2017-01-06 00:00,4.9,321.7,.8,0,,,67.5,5.63,0
327,2017-01-06 01:00,3.2,0,.3,0,,,75.5,0,0
327,2017-01-06 02:00,2,0,.2,0,,,80.1,0,0
327,2017-01-06 03:00,2.3,282.4,.7,0,,,79.9,0,0
327,2017-01-06 04:00,1.9,0,.3,0,,,82.2,0,0
327,2017-01-06 05:00,2.1,226.1,.9,0,,,81.9,0,0
327,2017-01-06 06:00,2.1,0,.4,0,,,81.1,0,0
327,2017-01-06 07:00,2.9,0,.2,0,,,80.4,0,0
327,2017-01-06 08:00,1.1,0,.1,0,,,83.3,0,0
327,2017-01-06 09:00,5,344.3,.5,0,,,67.7,.14,0
327,2017-01-06 10:00,6.7,135.6,.9,0,,,61.1,.6,0
327,2017-01-06 11:00,8.4,159.6,.8,0,,,55.8,1.47,0
327,2017-01-06 12:00,8.9,192.1,1.4,0,,,53.8,1.82,0
327,2017-01-06 13:00,9.5,179.6,1.4,0,,,50.8,3.07,0
327,2017-01-06 14:00,10.2,164.8,1.5,0,,,50.2,3.78,0
327,2017-01-06 15:00,10.2,185.6,.8,0,,,49.8,4.62,0
327,2017-01-06 16:00,8,251.1,.7,0,,,59.2,4.79,0
327,2017-01-06 17:00,6.1,290.9,1.1,0,,,68.7,5.17,0
327,2017-01-06 18:00,4.8,294.8,.8,0,,,73.7,4.83,0
327,2017-01-06 19:00,3.6,0,.2,0,,,78.4,5.17,0
327,2017-01-06 20:00,3.6,299.4,.6,0,,,76.6,4.83,0
327,2017-01-06 21:00,2.9,0,.1,0,,,80.3,5.17,0
327,2017-01-06 22:00,2.5,0,.4,0,,,82.3,4.83,0
327,2017-01-06 23:00,2.3,0,.4,0,,,83.6,5.17,0
327,2017-01-07 00:00,1.6,0,0,0,,,85.1,4.83,0
327,2017-01-07 01:00,.7,0,0,0,,,87.5,0,0
327,2017-01-07 02:00,.5,0,0,0,,,89,0,0
327,2017-01-07 03:00,-.4,0,0,0,,,89.8,0,0
327,2017-01-07 04:00,-.7,0,0,0,,,91.7,0,0
327,2017-01-07 05:00,-1,0,0,0,,,92.2,0,0
327,2017-01-07 06:00,-1.4,0,0,0,,,93.2,0,0
327,2017-01-07 07:00,-1.9,0,0,0,,,93.9,0,0
327,2017-01-07 08:00,-1.7,0,0,0,,,94.3,0,0
327,2017-01-07 09:00,-.8,0,.1,0,,,94.6,.14,0
327,2017-01-07 10:00,2.1,72.5,.6,0,,,87.3,.6,0
327,2017-01-07 11:00,4.3,147.4,.6,0,,,73,.9,0
327,2017-01-07 12:00,5.3,53.4,1,0,,,69.1,1.76,0
327,2017-01-07 13:00,7.5,20.3,1.2,0,,,60.6,1.87,0
327,2017-01-07 14:00,8.6,34.6,.8,0,,,58.1,2.73,0
327,2017-01-07 15:00,8.2,242.9,.8,0,,,58.6,2.63,0
327,2017-01-07 16:00,7.4,0,.2,0,,,67,3.14,0
327,2017-01-07 17:00,5.9,0,.3,0,,,71.6,2.84,0
327,2017-01-07 18:00,4.3,0,0,0,,,78,3.16,0
327,2017-01-07 19:00,4.1,0,0,0,,,78.8,2.84,0
327,2017-01-07 20:00,4.1,0,.2,0,,,77.8,3.16,0
327,2017-01-07 21:00,3.9,0,.2,0,,,75.6,2.84,0
327,2017-01-07 22:00,3.7,0,0,0,,,77.2,3.16,0
327,2017-01-07 23:00,3.8,0,.2,0,,,73.6,2.84,0
327,2017-01-08 00:00,3.8,0,.1,0,,,75.3,3.16,0
327,2017-01-08 01:00,4.3,0,.4,0,,,76.1,0,0
327,2017-01-08 02:00,4,0,0,0,,,76.6,0,0
327,2017-01-08 03:00,5,0,.1,0,,,76.8,0,0
327,2017-01-08 04:00,4.4,0,.3,0,,,80,0,0
327,2017-01-08 05:00,3.7,0,.1,0,,,82.8,0,0
327,2017-01-08 06:00,3.4,0,.1,0,,,82.7,0,0
327,2017-01-08 07:00,2.7,0,.2,0,,,84.6,0,0
327,2017-01-08 08:00,2.3,0,0,0,,,86.8,0,0
327,2017-01-08 09:00,2.9,0,.2,0,,,86.1,.08,0
327,2017-01-08 10:00,7,137.9,.6,0,,,68.7,.15,0
327,2017-01-08 11:00,9.6,51.4,.9,0,,,58.4,.42,0
327,2017-01-08 12:00,10.6,23.9,1.4,0,,,52.9,1.09,0
327,2017-01-08 13:00,11.3,38.6,1.5,0,,,51,1.7,0
327,2017-01-08 14:00,11.7,40,1.3,0,,,51.7,2.96,0
327,2017-01-08 15:00,11.7,46.3,1.1,0,,,53.2,3.36,0
327,2017-01-08 16:00,11.7,59.7,.7,0,,,52.6,3.72,0
327,2017-01-08 17:00,10.7,0,.2,0,,,59.1,3.59,0
327,2017-01-08 18:00,8.7,0,.3,0,,,64.7,3.76,0
327,2017-01-08 19:00,7.8,0,.2,0,,,70.6,3.59,0
327,2017-01-08 20:00,8.2,0,.3,0,,,65.9,3.76,0
327,2017-01-08 21:00,7.1,66.9,.9,0,,,72.5,3.59,0
327,2017-01-08 22:00,6.2,63.3,.7,0,,,75.1,3.76,0
327,2017-01-08 23:00,5.9,47,.6,0,,,78.5,3.59,0
327,2017-01-09 00:00,5.6,47.1,1,0,,,80.4,3.76,0
327,2017-01-09 01:00,5.2,63.1,1.6,0,,,76.1,0,0
327,2017-01-09 02:00,4.4,39.3,.7,0,,,85.3,0,0
327,2017-01-09 03:00,4.6,42.5,.8,0,,,82.1,0,0
327,2017-01-09 04:00,4.6,49.7,.7,0,,,77.1,0,0
327,2017-01-09 05:00,4.2,54.9,.6,0,,,77,0,0
327,2017-01-09 06:00,4.1,0,.3,0,,,76.6,0,0
327,2017-01-09 07:00,3.8,92.2,.5,0,,,79.5,0,0
327,2017-01-09 08:00,3.6,52.3,1,0,,,79.3,63.29,0
327,2017-01-09 09:00,3.9,87.1,1.4,0,,,77.4,7.74,0
327,2017-01-09 10:00,4,56.8,1.8,0,,,76.5,-7.25,0
327,2017-01-09 11:00,4.7,69.4,2,0,,,67.4,7.73,0
327,2017-01-09 12:00,5.5,55.7,2.2,0,,,63.5,-6.65,0
327,2017-01-09 13:00,6.3,47.8,2.6,0,,,59.7,9.48,0
327,2017-01-09 14:00,6.1,70.6,2.5,0,,,54.3,-4.78,0
327,2017-01-09 15:00,5.7,58.2,2.5,0,,,55,11.06,0
327,2017-01-09 16:00,5.1,68.7,2,0,,,55.4,-11.06,0
327,2017-01-09 17:00,3.4,53.3,1,0,,,58.5,18.96,0
327,2017-01-09 18:00,.9,0,.3,0,,,73.8,-10.99,0
327,2017-01-09 19:00,1.1,59.8,1.2,0,,,72.2,18.96,0
327,2017-01-09 20:00,.2,74.8,1.1,0,,,71.9,-10.99,0
327,2017-01-09 21:00,-1.6,282.5,.5,0,,,81.3,18.96,0
