지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
512,2017-01-01 00:00,.9,103.6,.7,0,1028.7,1029.9,,0,0
512,2017-01-01 01:00,1.1,88.6,1.4,0,1028.6,1029.8,,0,0
512,2017-01-01 02:00,.5,87.2,1.2,0,1028.4,1029.6,,0,0
512,2017-01-01 03:00,.1,84.4,1.3,0,1028.5,1029.7,,0,0
512,2017-01-01 04:00,-.3,88.2,.9,0,1028.4,1029.6,,0,0
512,2017-01-01 05:00,-.7,83.9,.9,0,1028.1,1029.3,,0,0
512,2017-01-01 06:00,-.3,94.9,1,0,1027.9,1029.1,,0,0
512,2017-01-01 07:00,.6,86.9,1,0,1028.4,1029.6,,0,0
512,2017-01-01 08:00,.8,75.6,1.6,0,1028.7,1029.9,,0,0
512,2017-01-01 09:00,2.1,87.1,1.2,0,1029.3,1030.5,,0,0
512,2017-01-01 10:00,3.2,101.5,1.6,0,1029.8,1030.9,,0,0
512,2017-01-01 11:00,4.8,136.5,1.4,0,1029.6,1030.7,,0,0
512,2017-01-01 12:00,6.8,145.3,1.2,0,1028.5,1029.6,,0,0
512,2017-01-01 13:00,7.7,184.9,1.5,0,1027.6,1028.7,,0,0
512,2017-01-01 14:00,8.4,172.4,1.1,0,1026.8,1027.9,,0,0
512,2017-01-01 15:00,9.2,215,2,0,1026.4,1027.5,,0,0
512,2017-01-01 16:00,8.7,194.6,1.5,0,1026.2,1027.3,,0,0
512,2017-01-01 17:00,8,0,.3,0,1025.9,1027,,0,0
512,2017-01-01 18:00,7.3,58.1,.8,0,1025.2,1026.3,,0,0
512,2017-01-01 19:00,5.9,0,.1,0,1025.1,1026.2,,0,0
512,2017-01-01 20:00,5.7,90.2,.9,0,1024.8,1025.9,,0,0
512,2017-01-01 21:00,4.9,0,.2,0,1024.5,1025.6,,0,0
512,2017-01-01 22:00,6,140.5,.9,0,1024.2,1025.3,,0,0
512,2017-01-01 23:00,6.1,130.9,1.6,0,1023.8,1024.9,,0,0
512,2017-01-02 00:00,5.8,132.2,2,0,1023.7,1024.8,,0,0
512,2017-01-02 01:00,5.6,128.5,1.3,0,1023.2,1024.3,,0,0
512,2017-01-02 02:00,5.3,99.3,1.1,0,1022.6,1023.7,,0,0
512,2017-01-02 03:00,5.4,122.6,.7,0,1022.9,1024,,0,0
512,2017-01-02 04:00,5.4,128.7,1.6,0,1022.5,1023.6,,0,0
512,2017-01-02 05:00,5.2,117.5,1.3,0,1021.7,1022.8,,0,0
512,2017-01-02 06:00,5.2,195.8,1.1,0,1021.6,1022.7,,0,0
512,2017-01-02 07:00,4.6,116.3,1.4,.5,1021.3,1022.4,,0,0
512,2017-01-02 08:00,4.7,126.9,1.2,0,1021.5,1022.6,,0,0
512,2017-01-02 09:00,5.2,178.4,.5,0,1021.5,1022.6,,0,0
512,2017-01-02 10:00,6,202.1,.9,0,1021.9,1023,,0,0
512,2017-01-02 11:00,7.6,232.1,.5,0,1022.1,1023.2,,0,0
512,2017-01-02 12:00,9.1,305.8,2,0,1021.4,1022.5,,0,0
512,2017-01-02 13:00,9.7,252.2,1.5,0,1021,1022.1,,0,0
512,2017-01-02 14:00,9.5,256.3,2.4,0,1020.4,1021.5,,0,0
512,2017-01-02 15:00,9.1,294,3.3,0,1020.5,1021.6,,0,0
512,2017-01-02 16:00,8.6,281.5,1.6,0,1020.9,1022,,0,0
512,2017-01-02 17:00,7.7,252.7,1.4,0,1021,1022.1,,0,0
512,2017-01-02 18:00,7.3,306.8,1.8,0,1021.4,1022.5,,0,0
512,2017-01-02 19:00,6.4,295.1,2.3,0,1021.9,1023,,0,0
512,2017-01-02 20:00,5.7,298.6,2.3,0,1022.2,1023.3,,0,0
512,2017-01-02 21:00,5.1,300.2,2.5,0,1022.2,1023.3,,0,0
512,2017-01-02 22:00,4.2,291.5,1.9,0,1022.4,1023.5,,0,0
512,2017-01-02 23:00,2.2,315.1,.8,0,1022.9,1024,,0,0
512,2017-01-03 00:00,2,10,.7,0,1023.3,1024.4,,0,0
512,2017-01-03 01:00,.8,7.9,.6,0,1023.5,1024.7,,0,0
512,2017-01-03 02:00,0,0,.2,0,1023.7,1024.9,,0,0
512,2017-01-03 03:00,-.6,0,.1,0,1024,1025.2,,0,0
512,2017-01-03 04:00,-.8,15.6,.5,0,1024.3,1025.5,,0,0
512,2017-01-03 05:00,-1.2,357.2,.5,0,1024.3,1025.5,,0,0
512,2017-01-03 06:00,-1.5,0,0,0,1024.1,1025.3,,0,0
512,2017-01-03 07:00,-1.6,0,0,0,1024.2,1025.4,,0,0
512,2017-01-03 08:00,-1.2,0,.3,0,1024.8,1026,,0,0
512,2017-01-03 09:00,1,96.6,1.1,0,1024.9,1026.1,,0,0
512,2017-01-03 10:00,3.4,144.5,1.1,0,1024.8,1025.9,,0,0
512,2017-01-03 11:00,4.8,189.5,1.5,0,1024.7,1025.8,,0,0
512,2017-01-03 12:00,5.8,192.9,2.1,0,1024.1,1025.2,,0,0
512,2017-01-03 13:00,6.4,211.7,2.4,0,1023.6,1024.7,,0,0
512,2017-01-03 14:00,7.2,264,2.3,0,1023.1,1024.2,,0,0
512,2017-01-03 15:00,7.3,291.9,2.1,0,1023,1024.1,,0,0
512,2017-01-03 16:00,6.4,301.4,1.9,0,1022.7,1023.8,,0,0
512,2017-01-03 17:00,5.2,326,1.7,0,1022.5,1023.6,,0,0
512,2017-01-03 18:00,2.6,0,0,0,1022.1,1023.2,,0,0
512,2017-01-03 19:00,2.1,0,0,0,1022.6,1023.7,,0,0
512,2017-01-03 20:00,1.4,0,0,0,1022.8,1023.9,,0,0
512,2017-01-03 21:00,.8,0,0,0,1022.8,1024,,0,0
512,2017-01-03 22:00,1.5,0,0,0,1022.7,1023.8,,0,0
512,2017-01-03 23:00,1.7,78.7,1.4,0,1022.8,1023.9,,0,0
512,2017-01-04 00:00,1.8,108.1,1,0,1022.8,1023.9,,0,0
512,2017-01-04 01:00,2.3,86.1,1.7,0,1022.5,1023.6,,0,0
512,2017-01-04 02:00,2.5,110.1,.7,0,1022.5,1023.6,,0,0
512,2017-01-04 03:00,3.1,89.8,1.3,0,1022.5,1023.6,,0,0
512,2017-01-04 04:00,2.1,96.1,1.4,0,1022.3,1023.4,,0,0
512,2017-01-04 05:00,1.4,97.3,.8,0,1022.3,1023.4,,0,0
512,2017-01-04 06:00,1,95.5,.6,0,1022.1,1023.3,,0,0
512,2017-01-04 07:00,.4,0,.4,0,1022.7,1023.9,,0,0
512,2017-01-04 08:00,.1,0,0,0,1023.1,1024.3,,0,0
512,2017-01-04 09:00,1.6,0,0,0,1023.9,1025,,0,0
512,2017-01-04 10:00,5.4,0,.2,0,1024.4,1025.5,,0,0
512,2017-01-04 11:00,7.2,283.4,1.6,0,1024.5,1025.6,,0,0
512,2017-01-04 12:00,7.8,313,3.2,0,1023.7,1024.8,,0,0
512,2017-01-04 13:00,8.4,274,2,0,1023.1,1024.2,,0,0
512,2017-01-04 14:00,8.5,298.6,2.7,0,1022.6,1023.7,,0,0
512,2017-01-04 15:00,8.8,287,2.4,0,1022.3,1023.4,,0,0
512,2017-01-04 16:00,7.9,291.6,2.5,0,1022.5,1023.6,,0,0
512,2017-01-04 17:00,6.4,285.8,2.6,0,1022.6,1023.7,,0,0
512,2017-01-04 18:00,4.9,316.9,1.2,0,1023.4,1024.5,,0,0
512,2017-01-04 19:00,4.2,339.4,1.1,0,1023.6,1024.7,,0,0
512,2017-01-04 20:00,3,344.7,.8,0,1024.1,1025.2,,0,0
512,2017-01-04 21:00,1.5,0,.4,0,1023.9,1025.1,,0,0
512,2017-01-04 22:00,3.8,325.4,1.4,0,1024,1025.1,,0,0
512,2017-01-04 23:00,.5,0,.4,0,1024.3,1025.5,,0,0
512,2017-01-05 00:00,.5,320.7,1.2,0,1024.6,1025.8,,0,0
512,2017-01-05 01:00,1,328.6,.7,0,1025,1026.2,,0,0
512,2017-01-05 02:00,2.7,347.3,1.6,0,1024.9,1026,,0,0
512,2017-01-05 03:00,.5,0,0,0,1025.1,1026.3,,0,0
512,2017-01-05 04:00,.5,0,.1,0,1025.3,1026.5,,0,0
512,2017-01-05 05:00,.3,28.5,.5,0,1025,1026.2,,0,0
512,2017-01-05 06:00,.4,0,.1,0,1024.9,1026.1,,0,0
512,2017-01-05 07:00,1.1,0,.2,0,1025.5,1026.7,,0,0
512,2017-01-05 08:00,1.5,0,.3,0,1026,1027.2,,0,0
512,2017-01-05 09:00,3.9,63.3,1.9,0,1026.3,1027.4,,0,0
512,2017-01-05 10:00,4.9,69.9,1.8,0,1026.5,1027.6,,0,0
512,2017-01-05 11:00,5.8,61.9,2.5,0,1026.7,1027.8,,0,0
512,2017-01-05 12:00,6.7,61.4,2.1,0,1026.2,1027.3,,0,0
512,2017-01-05 13:00,7.6,76.3,2.8,0,1025.7,1026.8,,0,0
512,2017-01-05 14:00,8,75.3,2.4,0,1025.5,1026.6,,0,0
512,2017-01-05 15:00,8.1,78.4,1.7,0,1025.7,1026.8,,0,0
512,2017-01-05 16:00,8.2,77.3,2.8,0,1025.9,1027,,0,0
512,2017-01-05 17:00,8.1,77.8,1.6,0,1026,1027.1,,0,0
512,2017-01-05 18:00,8,70,1.6,0,1026.4,1027.5,,0,0
512,2017-01-05 19:00,7.7,87,1.2,0,1026.5,1027.6,,0,0
512,2017-01-05 20:00,7.6,91.7,1.2,0,1026.8,1027.9,,0,0
512,2017-01-05 21:00,7.5,107.9,1,0,1027,1028.1,,0,0
512,2017-01-05 22:00,7.4,117.2,1.3,0,1027,1028.1,,0,0
512,2017-01-05 23:00,7,114,1.1,0,1027.2,1028.3,,0,0
512,2017-01-06 00:00,6.7,124.3,2.1,0,1027.1,1028.2,,0,0
512,2017-01-06 01:00,6.1,108.6,1.4,0,1026.9,1028,,0,0
512,2017-01-06 02:00,5.9,122,1.4,0,1026.9,1028,,0,0
512,2017-01-06 03:00,6.1,118.4,1.4,0,1027.2,1028.3,,0,0
512,2017-01-06 04:00,6,137,2.1,0,1026.9,1028,,0,0
512,2017-01-06 05:00,5.7,116.8,.7,0,1026.8,1027.9,,0,0
512,2017-01-06 06:00,5.8,133.4,1.2,0,1026.8,1027.9,,0,0
512,2017-01-06 07:00,5.3,129.3,.8,0,1027.3,1028.4,,0,0
512,2017-01-06 08:00,5.1,129.5,1.2,0,1027.2,1028.3,,0,0
512,2017-01-06 09:00,6.1,133.7,1.9,0,1027.6,1028.7,,0,0
512,2017-01-06 10:00,6.7,136.4,2.4,0,1027.7,1028.8,,0,0
512,2017-01-06 11:00,7.5,136.3,2.6,0,1027.5,1028.6,,0,0
512,2017-01-06 12:00,8.9,135.8,2.1,0,1026.4,1027.5,,0,0
512,2017-01-06 13:00,9.1,101.2,1.4,0,1025.6,1026.7,,0,0
512,2017-01-06 14:00,10.6,143.1,1.3,0,1024.8,1025.9,,0,0
512,2017-01-06 15:00,10.5,325.1,1.5,0,1024.2,1025.3,,0,0
512,2017-01-06 16:00,10.5,265.3,1.5,0,1024.2,1025.3,,0,0
512,2017-01-06 17:00,8.7,277.7,1.3,0,1024.4,1025.5,,0,0
512,2017-01-06 18:00,6.5,336.7,1,0,1024.5,1025.6,,0,0
512,2017-01-06 19:00,4.7,312.1,.6,0,1025,1026.1,,0,0
512,2017-01-06 20:00,3.8,7.2,.7,0,1024.9,1026,,0,0
512,2017-01-06 21:00,3.3,359.8,.7,0,1024.8,1025.9,,0,0
512,2017-01-06 22:00,2.7,0,.1,0,1024.8,1025.9,,0,0
512,2017-01-06 23:00,2.1,0,0,0,1024.5,1025.6,,0,0
512,2017-01-07 00:00,1.9,0,0,0,1024,1025.1,,0,0
512,2017-01-07 01:00,1.6,0,0,0,1023.6,1024.7,,0,0
512,2017-01-07 02:00,1.6,0,.2,0,1023.5,1024.6,,0,0
512,2017-01-07 03:00,1.2,0,0,0,1023.5,1024.7,,0,0
512,2017-01-07 04:00,.8,0,0,0,1022.9,1024.1,,0,0
512,2017-01-07 05:00,.7,0,0,0,1022.9,1024.1,,0,0
512,2017-01-07 06:00,.3,0,0,0,1022.6,1023.8,,0,0
512,2017-01-07 07:00,.3,0,.1,0,1022.9,1024.1,,0,0
512,2017-01-07 08:00,0,0,0,0,1023.5,1024.7,,0,0
512,2017-01-07 09:00,2.7,159.4,.5,0,1023.4,1024.5,,0,0
512,2017-01-07 10:00,4.7,82.4,1.3,0,1022.7,1023.8,,0,0
512,2017-01-07 11:00,6.8,175.2,.9,0,1023.4,1024.5,,0,0
512,2017-01-07 12:00,6.8,336.2,2.3,0,1022,1023.1,,0,0
512,2017-01-07 13:00,8,333.3,1.8,0,1020.4,1021.5,,0,0
512,2017-01-07 14:00,8.8,286.4,1.7,0,1019.6,1020.7,,0,0
512,2017-01-07 15:00,9.9,274.1,1.4,0,1018.6,1019.7,,0,0
512,2017-01-07 16:00,8.7,298.3,2.2,0,1018.4,1019.5,,0,0
512,2017-01-07 17:00,8,320.8,1,0,1018.1,1019.2,,0,0
512,2017-01-07 18:00,6.2,340.2,1.3,0,1018.1,1019.2,,0,0
512,2017-01-07 19:00,4.2,340,.8,0,1017.9,1019,,0,0
512,2017-01-07 20:00,3.8,21.9,.6,0,1018,1019.1,,0,0
512,2017-01-07 21:00,3.2,0,.2,0,1018.2,1019.3,,0,0
512,2017-01-07 22:00,3.5,0,0,0,1018.2,1019.3,,0,0
512,2017-01-07 23:00,4.1,0,0,0,1018.5,1019.6,,0,0
512,2017-01-08 00:00,4.2,0,0,0,1018.4,1019.5,,0,0
512,2017-01-08 01:00,4.7,149.8,.6,0,1018.1,1019.2,,0,0
512,2017-01-08 02:00,6.7,113.5,.8,0,1017.6,1018.7,,0,0
512,2017-01-08 03:00,6.4,74.5,.8,0,1017.2,1018.3,,0,0
512,2017-01-08 04:00,4.3,0,.4,0,1016.4,1017.5,,0,0
512,2017-01-08 05:00,6.4,100.8,1.1,0,1015.6,1016.7,,0,0
512,2017-01-08 06:00,6.1,97.9,1,0,1015.1,1016.2,,0,0
512,2017-01-08 07:00,6,69.7,.8,0,1015.3,1016.4,,0,0
512,2017-01-08 08:00,5.5,59.3,.5,0,1015.3,1016.4,,0,0
512,2017-01-08 09:00,7.1,60.4,1.1,0,1015.3,1016.4,,0,0
512,2017-01-08 10:00,7.9,67.3,1.4,0,1015.4,1016.5,,0,0
512,2017-01-08 11:00,9.3,77.4,1.8,0,1014.9,1016,,0,0
512,2017-01-08 12:00,10,199.8,.9,0,1014,1015.1,,0,0
512,2017-01-08 13:00,9.8,316.7,2.3,0,1012.8,1013.9,,0,0
512,2017-01-08 14:00,9.7,299.7,2.4,0,1012,1013.1,,0,0
512,2017-01-08 15:00,9.6,302.4,2.3,0,1011.7,1012.8,,0,0
512,2017-01-08 16:00,9.4,317.7,1.9,0,1011.6,1012.7,,0,0
512,2017-01-08 17:00,8.6,298.3,2.1,0,1011.5,1012.6,,0,0
512,2017-01-08 18:00,7.4,305.7,3,0,1011.7,1012.8,,0,0
512,2017-01-08 19:00,7,300.4,3.6,0,1012,1013.1,,0,0
512,2017-01-08 20:00,6.7,297.9,3.1,0,1012.2,1013.3,,0,0
512,2017-01-08 21:00,6.1,293.2,2.5,0,1012.5,1013.6,,0,0
512,2017-01-08 22:00,5.5,308.2,2.6,0,1012.6,1013.7,,0,0
512,2017-01-08 23:00,5.2,300.7,3,0,1012.8,1013.9,,0,0
512,2017-01-09 00:00,5,299.4,2.9,0,1012.9,1014,,0,0
512,2017-01-09 01:00,4.9,314.8,2.8,0,1012.9,1014,,0,0
512,2017-01-09 02:00,4.4,301.5,4,0,1013,1014.1,,0,0
512,2017-01-09 03:00,4.5,299.2,3.1,0,1013.3,1014.4,,0,0
512,2017-01-09 04:00,4.1,316.7,3.3,0,1013.3,1014.4,,0,0
512,2017-01-09 05:00,4,316.2,2.7,0,1013.4,1014.5,,0,0
512,2017-01-09 06:00,3.9,306.1,2,0,1013.9,1015,,0,0
512,2017-01-09 07:00,3.8,306.3,3,0,1014.7,1015.8,,0,0
512,2017-01-09 08:00,2.8,300.2,3.7,0,1015.7,1016.8,,0,0
512,2017-01-09 09:00,2.9,297.6,2.9,0,1016.6,1017.7,,0,0
512,2017-01-09 10:00,3.6,313.8,3.2,0,1017.2,1018.3,,0,0
512,2017-01-09 11:00,3.8,291.3,3.3,0,1017.7,1018.8,,0,0
512,2017-01-09 12:00,4.1,295.6,3.7,0,1017.7,1018.8,,0,0
512,2017-01-09 13:00,4.7,300.8,3.6,0,1017.5,1018.6,,0,0
512,2017-01-09 14:00,4.5,297.5,4.4,0,1016.8,1017.9,,0,0
512,2017-01-09 15:00,4.6,299.1,3.9,0,1017.1,1018.2,,0,0
512,2017-01-09 16:00,4.4,300.5,3.8,0,1017.2,1018.3,,0,0
512,2017-01-09 17:00,3.3,293.9,3.2,0,1017.8,1018.9,,0,0
512,2017-01-09 18:00,2.6,304.2,3.1,0,1018.3,1019.4,,0,0
512,2017-01-09 19:00,2,307,3,0,1018.7,1019.8,,0,0
512,2017-01-09 20:00,.8,320.8,2.1,0,1019.1,1020.2,,0,0
512,2017-01-09 21:00,.2,317.2,2.1,0,1019.4,1020.6,,0,0
512,2017-01-09 22:00,-.8,333.2,1.3,0,1019.6,1020.8,,0,0
