지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
642,2018-01-01 00:00,-1.1,127.7,.5,0,,,66.4,0,0
642,2018-01-01 01:00,-.6,263.5,1.2,0,,,56.9,0,0
642,2018-01-01 02:00,-1.7,157.4,.7,0,,,62.8,0,0
642,2018-01-01 03:00,-1.7,181.1,.7,0,,,59.7,0,0
642,2018-01-01 04:00,-2.9,0,0,0,,,69.5,0,0
642,2018-01-01 05:00,-4.1,333.3,.5,0,,,76.7,0,0
642,2018-01-01 06:00,-4.3,0,.4,0,,,77.7,0,0
642,2018-01-01 07:00,-4.8,0,.3,0,,,78.9,0,0
642,2018-01-01 08:00,-4.8,0,.1,0,,,77,0,0
642,2018-01-01 09:00,-3.9,0,.3,0,,,73.4,0,0
642,2018-01-01 10:00,.3,0,.1,0,,,58.6,0,0
642,2018-01-01 11:00,2.8,243.6,.7,0,,,35.5,0,0
642,2018-01-01 12:00,2.9,55.1,1,0,,,30.3,0,0
642,2018-01-01 13:00,4.1,282.7,2.1,0,,,27.1,0,0
642,2018-01-01 14:00,4.1,331.4,1.5,0,,,30,0,0
642,2018-01-01 15:00,3.7,283,.9,0,,,32.5,0,0
642,2018-01-01 16:00,5,288.7,.8,0,,,34.5,0,0
642,2018-01-01 17:00,3.3,234.2,2.1,0,,,42,0,0
642,2018-01-01 18:00,1.5,199.5,1,0,,,49.9,0,0
642,2018-01-01 19:00,.7,201,.7,0,,,55.5,0,0
642,2018-01-01 20:00,.2,0,0,0,,,59.1,0,0
642,2018-01-01 21:00,-.9,0,.4,0,,,65.3,0,0
642,2018-01-01 22:00,-1.5,0,.1,0,,,69.2,0,0
642,2018-01-01 23:00,-2,0,0,0,,,72.7,0,0
642,2018-01-02 00:00,-2.5,0,.1,0,,,75.2,0,0
642,2018-01-02 01:00,-3,0,0,0,,,79.1,0,0
642,2018-01-02 02:00,-3.5,0,.2,0,,,79.3,0,0
642,2018-01-02 03:00,-3.5,0,0,0,,,82.1,0,0
642,2018-01-02 04:00,-3.7,0,.3,0,,,82.2,0,0
642,2018-01-02 05:00,-4,0,.1,0,,,84.3,0,0
642,2018-01-02 06:00,-4,0,.2,0,,,84.4,0,0
642,2018-01-02 07:00,-4.1,0,0,0,,,84.7,0,0
642,2018-01-02 08:00,-4,0,0,0,,,85.2,0,0
642,2018-01-02 09:00,-2.9,0,0,0,,,81.7,0,0
642,2018-01-02 10:00,-1.3,0,.2,0,,,75.9,0,0
642,2018-01-02 11:00,1.9,0,.1,0,,,68.3,0,0
642,2018-01-02 12:00,2.6,332.3,.7,0,,,64.6,0,0
642,2018-01-02 13:00,3.8,233,2.2,0,,,68.1,0,0
642,2018-01-02 14:00,4.2,232.1,1.8,0,,,68.7,0,0
642,2018-01-02 15:00,4,246,1.3,0,,,73.2,0,0
642,2018-01-02 16:00,3.7,251.3,1.5,0,,,73.9,0,0
642,2018-01-02 17:00,2.7,331.2,1.4,0,,,76.9,0,0
642,2018-01-02 18:00,2,283.4,.7,0,,,75.1,0,0
642,2018-01-02 19:00,1.5,260.7,.7,0,,,65.7,0,0
642,2018-01-02 20:00,.6,316.6,.5,0,,,53.9,0,0
642,2018-01-02 21:00,.3,0,.3,0,,,55,0,0
642,2018-01-02 22:00,-.4,220.9,1.4,0,,,53.8,0,0
642,2018-01-02 23:00,-.1,269.7,1.8,0,,,43.3,0,0
642,2018-01-03 00:00,-.6,244.9,1,0,,,45.2,0,0
642,2018-01-03 01:00,-1.2,241.8,.8,0,,,48.3,0,0
642,2018-01-03 02:00,-1.4,272.3,1.2,0,,,49.7,0,0
642,2018-01-03 03:00,-2,157.3,.7,0,,,53,0,0
642,2018-01-03 04:00,-2.3,304,1.4,0,,,48.5,0,0
642,2018-01-03 05:00,-2.9,313.1,1.2,0,,,48.6,0,0
642,2018-01-03 06:00,-3.4,305.4,1.2,0,,,41.5,0,0
642,2018-01-03 07:00,-4.6,136.7,.9,0,,,49.6,0,0
642,2018-01-03 08:00,-5.2,0,.3,0,,,53.1,0,0
642,2018-01-03 09:00,-4.3,0,.3,0,,,50.3,0,0
642,2018-01-03 10:00,-1.7,170.7,.8,0,,,42.5,0,0
642,2018-01-03 11:00,-1,265.4,1,0,,,41,0,0
642,2018-01-03 12:00,.6,306,.5,0,,,38.5,0,0
642,2018-01-03 13:00,.9,335.4,1.1,0,,,37.6,0,0
642,2018-01-03 14:00,1.4,314.8,1.6,0,,,35.9,0,0
642,2018-01-03 15:00,1.7,318.2,2.1,0,,,34.4,0,0
642,2018-01-03 16:00,1.9,321.6,1.6,0,,,31.3,0,0
642,2018-01-03 17:00,.8,327.8,2,0,,,32.1,0,0
642,2018-01-03 18:00,-.1,325.2,1.9,0,,,34.9,0,0
642,2018-01-03 19:00,-1.7,128.3,1.1,0,,,46.8,0,0
642,2018-01-03 20:00,-1.7,344.7,1.8,0,,,49.2,0,0
642,2018-01-03 21:00,-2.4,326.7,1.6,0,,,54,0,0
642,2018-01-03 22:00,-2.5,339.7,1.2,0,,,56.1,0,0
642,2018-01-03 23:00,-3.5,179.6,.8,0,,,60.5,0,0
642,2018-01-04 00:00,-3.6,208.3,.6,0,,,60.3,0,0
642,2018-01-04 01:00,-3.5,0,.3,0,,,64.2,0,0
642,2018-01-04 02:00,-3.6,0,.3,0,,,66.9,0,0
642,2018-01-04 03:00,-3.5,0,.3,0,,,67.8,0,0
642,2018-01-04 04:00,-3.7,323.8,1.2,0,,,69.4,0,0
642,2018-01-04 05:00,-3.7,346.7,.9,0,,,69.1,0,0
642,2018-01-04 06:00,-4,344.5,1.3,0,,,68.9,0,0
642,2018-01-04 07:00,-4.6,355.8,1.3,0,,,62.7,0,0
642,2018-01-04 08:00,-5,323,.7,0,,,61.6,0,0
642,2018-01-04 09:00,-4.4,0,.4,0,,,54.6,0,0
642,2018-01-04 10:00,-3.8,353.9,1.1,0,,,53.1,0,0
642,2018-01-04 11:00,-3.2,317.2,1,0,,,50.5,0,0
642,2018-01-04 12:00,-2.4,357.8,1.1,0,,,39.1,0,0
642,2018-01-04 13:00,-1.5,341.6,.9,0,,,37.4,0,0
642,2018-01-04 14:00,-.9,315.1,1.7,0,,,36.2,0,0
642,2018-01-04 15:00,-.5,292.6,1.2,0,,,36.4,0,0
642,2018-01-04 16:00,-.6,344.5,.6,0,,,37.1,0,0
642,2018-01-04 17:00,-.6,10.4,.9,0,,,38,0,0
642,2018-01-04 18:00,-.8,34.8,1,0,,,38.5,0,0
642,2018-01-04 19:00,-.9,26.6,.9,0,,,39.4,0,0
642,2018-01-04 20:00,-1,125.7,.6,0,,,41.4,0,0
