지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
830,2018-01-01 00:00,-.4,204.2,5.5,0,,,34.6,,
830,2018-01-01 01:00,-.1,214.4,5.2,0,,,35.6,,
830,2018-01-01 02:00,-.4,221.3,5.8,0,,,34.8,,
830,2018-01-01 03:00,-.4,217.7,7.3,0,,,35.1,,
830,2018-01-01 04:00,-.9,224.9,6.5,0,,,35,,
830,2018-01-01 05:00,-1.3,231.1,4.3,0,,,30.7,,
830,2018-01-01 06:00,-1.9,254.9,2.5,0,,,31.8,,
830,2018-01-01 07:00,-1.8,244.3,3.7,0,,,33.7,,
830,2018-01-01 08:00,-1.5,239.3,4.1,0,,,33.5,,
830,2018-01-01 09:00,.1,227.4,4.3,0,,,30.8,,
830,2018-01-01 10:00,1.5,211.1,4.8,0,,,26.3,,
830,2018-01-01 11:00,2.7,224.7,5.7,0,,,22,,
830,2018-01-01 12:00,4.1,220.3,6.3,0,,,18.1,,
830,2018-01-01 13:00,4.7,215.7,5.8,0,,,17.8,,
830,2018-01-01 14:00,4.9,223.7,4.8,0,,,18.1,,
830,2018-01-01 15:00,5.2,223.3,4.3,0,,,14.7,,
830,2018-01-01 16:00,4.8,222.8,4.5,0,,,17.4,,
830,2018-01-01 17:00,2.5,201.8,1.7,0,,,22.9,,
830,2018-01-01 18:00,2.3,213.3,3.4,0,,,27,,
830,2018-01-01 19:00,2,218,3.1,0,,,33.2,,
830,2018-01-01 20:00,-.1,239.6,1.1,0,,,41.1,,
830,2018-01-01 21:00,.8,219.9,3.6,0,,,39.2,,
830,2018-01-01 22:00,-.8,226.7,2.5,0,,,47.1,,
830,2018-01-01 23:00,-.3,238.4,3.6,0,,,43.5,,
830,2018-01-02 00:00,-1.4,230.3,2.8,0,,,45.3,,
830,2018-01-02 01:00,-2.7,208.7,2.7,0,,,49.1,,
830,2018-01-02 02:00,-1.9,227.1,1.7,0,,,44.1,,
830,2018-01-02 03:00,-1.3,251.1,1.1,0,,,45.4,,
830,2018-01-02 04:00,-5.5,43.8,1,0,,,63.8,,
830,2018-01-02 05:00,-6.6,50.2,.5,0,,,73.1,,
830,2018-01-02 06:00,-7.1,40.3,.9,0,,,76.4,,
830,2018-01-02 07:00,-7.4,37.5,.6,0,,,78.2,,
830,2018-01-02 08:00,-7.2,92.9,.7,0,,,81,,
830,2018-01-02 09:00,-3.1,0,.3,0,,,70.4,,
830,2018-01-02 10:00,2.8,204.9,2.2,0,,,54.2,,
