지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
830,2017-01-01 00:00,-2.8,317.6,1.2,0,,,,0,0
830,2017-01-01 01:00,-1.1,210.5,.5,0,,,,0,0
830,2017-01-01 02:00,2.6,228.7,5.7,0,,,,0,0
830,2017-01-01 03:00,2.5,218.2,3.8,0,,,,0,0
830,2017-01-01 04:00,2.7,216,4,0,,,,0,0
830,2017-01-01 05:00,2.9,224.9,3.4,0,,,,0,0
830,2017-01-01 06:00,2.5,204.2,1.9,0,,,,0,0
830,2017-01-01 07:00,.9,275.1,1.2,0,,,,0,0
830,2017-01-01 08:00,-2,0,.2,0,,,,0,0
830,2017-01-01 09:00,1.8,230.3,.8,0,,,,0,0
830,2017-01-01 10:00,6.1,168,1.8,0,,,,0,0
830,2017-01-01 11:00,8.4,177.8,2,0,,,,0,0
830,2017-01-01 12:00,8.6,181.9,4.9,0,,,,0,0
830,2017-01-01 13:00,9.8,173.3,3.2,0,,,,0,0
830,2017-01-01 14:00,10.6,213.5,3.3,0,,,,0,0
830,2017-01-01 15:00,10.2,185.5,3.4,0,,,,0,0
830,2017-01-01 16:00,9.7,185.9,2.8,0,,,,0,0
830,2017-01-01 17:00,7.7,182.2,3.6,0,,,,0,0
830,2017-01-01 18:00,5.4,246.1,2.3,0,,,,0,0
830,2017-01-01 19:00,2.4,231.6,1.4,0,,,,0,0
830,2017-01-01 20:00,.8,252.9,1.4,0,,,,0,0
830,2017-01-01 21:00,2.1,253.8,3.2,0,,,,0,0
830,2017-01-01 22:00,4,233.8,3.2,0,,,,0,0
830,2017-01-01 23:00,4.2,204.7,4.1,0,,,,0,0
830,2017-01-02 00:00,3.7,204,2.6,0,,,,0,0
830,2017-01-02 01:00,.8,334.6,1.2,0,,,,0,0
830,2017-01-02 02:00,-.2,39.3,.7,0,,,,0,0
830,2017-01-02 03:00,3.3,197.5,3.5,0,,,,0,0
830,2017-01-02 04:00,5,198.6,3.9,0,,,,0,0
830,2017-01-02 05:00,3.4,220.3,1,0,,,,0,0
830,2017-01-02 06:00,4.8,195.9,3.7,0,,,,0,0
830,2017-01-02 07:00,1.2,29,2.2,0,,,,0,0
830,2017-01-02 08:00,.3,79.4,.8,0,,,,0,0
830,2017-01-02 09:00,2.6,89,1,0,,,,0,0
830,2017-01-02 10:00,6.9,15,1.5,0,,,,0,0
830,2017-01-02 11:00,10.2,198.8,4.3,0,,,,0,0
830,2017-01-02 12:00,10.5,187.3,5,0,,,,0,0
830,2017-01-02 13:00,11.6,210.2,5,0,,,,0,0
830,2017-01-02 14:00,11.4,229.5,6,0,,,,0,0
830,2017-01-02 15:00,12.1,221.9,5.2,0,,,,0,0
830,2017-01-02 16:00,10.9,209.2,6.4,0,,,,0,0
830,2017-01-02 17:00,10,217.3,6.1,0,,,,0,0
830,2017-01-02 18:00,9,194.6,3.9,0,,,,0,0
830,2017-01-02 19:00,8.9,185.6,3.3,0,,,,0,0
830,2017-01-02 20:00,8.4,180.3,3.7,0,,,,0,0
830,2017-01-02 21:00,7.7,180,2.6,0,,,,0,0
830,2017-01-02 22:00,7.9,186.1,2.5,0,,,,0,0
830,2017-01-02 23:00,7.2,192.7,2.3,0,,,,0,0
830,2017-01-03 00:00,5,184.1,.9,0,,,,0,0
830,2017-01-03 01:00,6.2,214.2,3.7,0,,,,0,0
830,2017-01-03 02:00,5.5,222.8,3.8,0,,,,0,0
830,2017-01-03 03:00,4.9,240.9,3.6,0,,,,0,0
830,2017-01-03 04:00,1.9,80.4,.9,0,,,,0,0
830,2017-01-03 05:00,-.4,75.5,.8,0,,,,0,0
830,2017-01-03 06:00,-2.3,79.9,.7,0,,,,0,0
830,2017-01-03 07:00,-2.9,0,.3,0,,,,0,0
830,2017-01-03 08:00,-3.4,243.3,.8,0,,,,0,0
830,2017-01-03 09:00,-.9,213.6,.8,0,,,,0,0
830,2017-01-03 10:00,3.6,78,1.1,0,,,,0,0
830,2017-01-03 11:00,7.7,184.9,2.9,0,,,,0,0
830,2017-01-03 12:00,8.6,182.2,4.1,0,,,,0,0
830,2017-01-03 13:00,9.8,191,4.1,0,,,,0,0
830,2017-01-03 14:00,10.2,177.2,5.7,0,,,,0,0
830,2017-01-03 15:00,10,184.2,6.6,0,,,,0,0
830,2017-01-03 16:00,9.4,197.2,5.1,0,,,,0,0
830,2017-01-03 17:00,8.2,191.3,5.7,0,,,,0,0
