지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
940,2018-01-01 00:00,1.6,355,1.2,0,,,25.2,0,0
940,2018-01-01 01:00,.7,320.9,1.1,0,,,27.3,0,0
940,2018-01-01 02:00,.8,331.7,1.4,0,,,29.6,0,0
940,2018-01-01 03:00,.4,297.1,1.3,0,,,34.2,0,0
940,2018-01-01 04:00,.7,317.5,2.7,0,,,38.3,0,0
940,2018-01-01 05:00,.4,309.7,2.9,0,,,36.9,0,0
940,2018-01-01 06:00,0,333.8,1.7,0,,,37.4,0,0
940,2018-01-01 07:00,-.3,328.1,1.3,0,,,37.8,0,0
940,2018-01-01 08:00,.2,309.4,.8,0,,,37.3,0,0
940,2018-01-01 09:00,1.3,311.3,2,0,,,33.5,0,0
940,2018-01-01 10:00,2.1,317.6,2.9,0,,,27.8,0,0
940,2018-01-01 11:00,4.5,293.4,2.2,0,,,23.8,0,0
940,2018-01-01 12:00,4.8,322.2,2.2,0,,,18.3,0,0
940,2018-01-01 13:00,5,328.3,3.2,0,,,16.1,0,0
940,2018-01-01 14:00,5.5,339.9,2.2,0,,,14.9,0,0
940,2018-01-01 15:00,5.5,341,3,0,,,15.6,0,0
940,2018-01-01 16:00,5.9,326.6,2.2,0,,,16.7,0,0
940,2018-01-01 17:00,4.8,345.1,1.6,0,,,18.7,0,0
940,2018-01-01 18:00,3.1,334.8,.7,0,,,24.5,0,0
940,2018-01-01 19:00,2.6,332,.5,0,,,27,0,0
940,2018-01-01 20:00,1.4,20.8,1.3,0,,,32.4,0,0
940,2018-01-01 21:00,1.2,338.1,.7,0,,,32.1,0,0
940,2018-01-01 22:00,2.3,331.2,1,0,,,26.9,0,0
940,2018-01-01 23:00,2.7,321.2,1.9,0,,,26.4,0,0
940,2018-01-02 00:00,2.2,344.1,1.7,0,,,27.9,0,0
940,2018-01-02 01:00,1.6,276.6,.8,0,,,29.3,0,0
940,2018-01-02 02:00,1.8,318.1,1.9,0,,,29.8,0,0
940,2018-01-02 03:00,.9,56,.5,0,,,30.4,0,0
940,2018-01-02 04:00,-.2,0,.4,0,,,38,0,0
940,2018-01-02 05:00,1.8,301.7,1.7,0,,,27.6,0,0
940,2018-01-02 06:00,.5,329.9,.6,0,,,36.6,0,0
940,2018-01-02 07:00,.6,325.8,.7,0,,,35.5,0,0
940,2018-01-02 08:00,.2,314.8,.6,0,,,40.8,0,0
940,2018-01-02 09:00,2.3,208.1,.9,0,,,36.3,0,0
940,2018-01-02 10:00,3.4,196.5,2.1,0,,,33.8,0,0
940,2018-01-02 11:00,5.3,222.4,1.3,0,,,28.2,0,0
940,2018-01-02 12:00,6.8,234.8,2.1,0,,,24.9,0,0
940,2018-01-02 13:00,8,256.1,1.7,0,,,22.7,0,0
940,2018-01-02 14:00,7.8,278.3,2,0,,,25.5,0,0
940,2018-01-02 15:00,8.1,240,1.8,0,,,25.8,0,0
940,2018-01-02 16:00,7.8,292.7,1.8,0,,,31,0,0
940,2018-01-02 17:00,7,297.8,1.7,0,,,34,0,0
940,2018-01-02 18:00,6.6,324.7,1.5,0,,,35.7,0,0
940,2018-01-02 19:00,5.5,345.7,.6,0,,,39.8,0,0
940,2018-01-02 20:00,5.7,333.6,1.6,0,,,43.2,0,0
940,2018-01-02 21:00,5.1,275.3,.8,0,,,45.5,0,0
940,2018-01-02 22:00,4.6,262.2,.7,0,,,48.7,0,0
940,2018-01-02 23:00,3.5,337,.5,0,,,53.1,0,0
940,2018-01-03 00:00,3.7,349.5,1.6,0,,,38.3,0,0
940,2018-01-03 01:00,3.2,335.3,1.1,0,,,30.1,0,0
940,2018-01-03 02:00,2.6,0,.4,0,,,25.7,0,0
940,2018-01-03 03:00,2.8,322.5,1.3,0,,,17.5,0,0
940,2018-01-03 04:00,1.7,0,.3,0,,,20.3,0,0
940,2018-01-03 05:00,1.5,308.2,1.1,0,,,13.1,0,0
940,2018-01-03 06:00,1.2,332.7,1.6,0,,,15.6,0,0
940,2018-01-03 07:00,.5,341.1,.5,0,,,17.9,0,0
940,2018-01-03 08:00,-.3,310.3,.8,0,,,21.6,0,0
940,2018-01-03 09:00,1.3,298,.7,0,,,20.6,0,0
940,2018-01-03 10:00,2.5,351.2,1.7,0,,,18.2,0,0
940,2018-01-03 11:00,3.5,325.7,1.7,0,,,16.6,0,0
940,2018-01-03 12:00,4.7,335.6,2.5,0,,,15.3,0,0
940,2018-01-03 13:00,5.1,330.5,1.8,0,,,13.6,0,0
940,2018-01-03 14:00,5.7,319.1,2.2,0,,,12.8,0,0
940,2018-01-03 15:00,5.9,320.5,1.7,0,,,11.9,0,0
940,2018-01-03 16:00,5.5,327.8,1.9,0,,,11.4,0,0
940,2018-01-03 17:00,4.3,324.5,1.6,0,,,13,0,0
940,2018-01-03 18:00,2.5,5.2,.5,0,,,16,0,0
940,2018-01-03 19:00,2.6,340.4,1.4,0,,,14.8,0,0
940,2018-01-03 20:00,1.9,349.6,2,0,,,17.5,0,0
940,2018-01-03 21:00,1.2,324.4,1.2,0,,,20.5,0,0
940,2018-01-03 22:00,.4,353.5,2,0,,,23.7,0,0
940,2018-01-03 23:00,.1,339.2,.9,0,,,24.8,0,0
940,2018-01-04 00:00,.4,331.5,1.5,0,,,22.9,0,0
940,2018-01-04 01:00,-.2,5.5,.9,0,,,24.7,0,0
940,2018-01-04 02:00,-1.1,350.4,.5,0,,,27.5,0,0
940,2018-01-04 03:00,-.9,119.5,.5,0,,,25.1,0,0
940,2018-01-04 04:00,-1.3,18.6,.6,0,,,25.1,0,0
940,2018-01-04 05:00,-1.4,51.4,.9,0,,,27.4,0,0
940,2018-01-04 06:00,-1.3,88.2,1,0,,,27.3,0,0
940,2018-01-04 07:00,-2.2,23.1,.8,0,,,32.6,0,0
940,2018-01-04 08:00,-1.9,26.5,.6,0,,,30,0,0
940,2018-01-04 09:00,-1.3,35.5,.6,0,,,30.6,0,0
940,2018-01-04 10:00,.2,37.6,.9,0,,,28.4,0,0
940,2018-01-04 11:00,2,311.7,1,0,,,21.6,0,0
940,2018-01-04 12:00,4.8,217.2,.8,0,,,19.2,0,0
940,2018-01-04 13:00,6.8,254.7,1.1,0,,,17,0,0
940,2018-01-04 14:00,6.7,196.1,1.6,0,,,20.1,0,0
940,2018-01-04 15:00,5.3,146.4,1.5,0,,,34.1,0,0
940,2018-01-04 16:00,5.4,302.5,.8,0,,,38.2,0,0
940,2018-01-04 17:00,4.9,5.7,.8,0,,,39.1,0,0
940,2018-01-04 18:00,4.6,350.5,.7,0,,,46.4,0,0
940,2018-01-04 19:00,4.3,0,.4,0,,,49,0,0
940,2018-01-04 20:00,4.4,.6,1.1,0,,,51.4,0,0
940,2018-01-04 21:00,4.3,351.2,1.3,0,,,52.1,0,0
940,2018-01-04 22:00,4.1,350.3,1.2,0,,,50.2,0,0
940,2018-01-04 23:00,4,351.6,.8,0,,,51.4,0,0
940,2018-01-05 00:00,3.8,345.1,1,0,,,48.2,0,0
940,2018-01-05 01:00,3.5,78.3,.5,0,,,49,0,0
940,2018-01-05 02:00,3.3,42.1,.6,0,,,46.5,0,0
940,2018-01-05 03:00,3.3,296.3,.8,0,,,42.2,0,0
940,2018-01-05 04:00,.9,0,.1,0,,,88.3,0,0
940,2018-01-05 05:00,.9,0,.2,0,,,92.9,0,0
940,2018-01-05 06:00,.9,0,.3,.5,,,92.5,0,0
940,2018-01-05 07:00,.7,0,.3,.5,,,92.1,0,0
940,2018-01-05 08:00,1.4,0,.1,0,,,90.3,0,0
940,2018-01-05 09:00,2.3,0,.1,0,,,90.4,0,0
940,2018-01-05 10:00,3.9,0,.3,0,,,74.5,0,0
940,2018-01-05 11:00,5.8,282.7,1.2,0,,,59.2,0,0
940,2018-01-05 12:00,6.3,333.8,2.1,0,,,28.2,0,0
940,2018-01-05 13:00,8.1,324.1,1.4,0,,,19.7,0,0
940,2018-01-05 14:00,9.1,232.2,1.5,0,,,18.5,0,0
940,2018-01-05 15:00,8.8,310.5,1.3,0,,,20.9,0,0
940,2018-01-05 16:00,7.8,337.5,2,0,,,20.6,0,0
940,2018-01-05 17:00,6.7,319.7,1.1,0,,,19,0,0
940,2018-01-05 18:00,5.5,342.8,1,0,,,14.2,0,0
940,2018-01-05 19:00,4.2,5.6,.8,0,,,16.7,0,0
940,2018-01-05 20:00,4.3,342,1.7,0,,,17.6,0,0
940,2018-01-05 21:00,3.1,29,1,0,,,21.7,0,0
940,2018-01-05 22:00,2.5,323.7,1.6,0,,,26.9,0,0
940,2018-01-05 23:00,1.6,330.3,1.2,0,,,32.9,0,0
940,2018-01-06 00:00,1.2,276.5,.8,0,,,36.5,0,0
940,2018-01-06 01:00,.7,147.1,1.1,0,,,37.7,0,0
940,2018-01-06 02:00,1.3,164.6,1.2,0,,,32.2,0,0
940,2018-01-06 03:00,1.3,29.1,2.5,0,,,31.2,0,0
940,2018-01-06 04:00,.7,145.3,2,0,,,35,0,0
940,2018-01-06 05:00,.6,75.5,1.9,0,,,33.5,0,0
940,2018-01-06 06:00,.8,70.6,1.5,0,,,30.2,0,0
940,2018-01-06 07:00,.7,25.7,1.8,0,,,28.8,0,0
940,2018-01-06 08:00,.6,352.2,1.1,0,,,29.2,0,0
940,2018-01-06 09:00,2.1,295.6,.8,0,,,28,0,0
940,2018-01-06 10:00,3.1,321.8,1.6,0,,,21.2,0,0
940,2018-01-06 11:00,4.2,332,2.4,0,,,17.4,0,0
940,2018-01-06 12:00,5.3,334.8,2.4,0,,,18,0,0
940,2018-01-06 13:00,6.5,320.3,2.2,0,,,16.4,0,0
940,2018-01-06 14:00,7.9,296,1.5,0,,,15.6,0,0
940,2018-01-06 15:00,8.7,326.1,1.6,0,,,15.6,0,0
940,2018-01-06 16:00,7.9,342.3,1.9,0,,,16.5,0,0
940,2018-01-06 17:00,6.4,347.5,1.7,0,,,19.1,0,0
940,2018-01-06 18:00,5,337.2,.6,0,,,21.4,0,0
940,2018-01-06 19:00,5,334.8,.7,0,,,18.8,0,0
940,2018-01-06 20:00,3.6,0,.2,0,,,21.6,0,0
940,2018-01-06 21:00,3,325.2,1.2,0,,,25.6,0,0
940,2018-01-06 22:00,1.7,0,.3,0,,,29.4,0,0
940,2018-01-06 23:00,1.6,13.7,.5,0,,,31.9,0,0
940,2018-01-07 00:00,1,15.2,1.3,0,,,31.7,0,0
940,2018-01-07 01:00,-.2,10.5,.7,0,,,37.8,0,0
940,2018-01-07 02:00,-.5,11.9,1.9,0,,,38.5,0,0
940,2018-01-07 03:00,-.7,29.5,1.7,0,,,36.4,0,0
940,2018-01-07 04:00,-1.7,12.6,.8,0,,,41.7,0,0
940,2018-01-07 05:00,-1.5,12.1,1.2,0,,,39.5,0,0
940,2018-01-07 06:00,-1.9,8.9,.8,0,,,41.1,0,0
940,2018-01-07 07:00,-2.2,1.6,.7,0,,,43.6,0,0
940,2018-01-07 08:00,-2,9.9,.9,0,,,43.4,0,0
940,2018-01-07 09:00,-.6,18.1,1.3,0,,,36.6,0,0
940,2018-01-07 10:00,2.1,0,.1,0,,,32.2,0,0
940,2018-01-07 11:00,4.8,174.1,.6,0,,,29.2,0,0
940,2018-01-07 12:00,5.2,0,.4,0,,,31.6,0,0
940,2018-01-07 13:00,6.7,0,.4,0,,,29.5,0,0
940,2018-01-07 14:00,7.2,216.2,.5,0,,,31.7,0,0
940,2018-01-07 15:00,8.7,0,.4,0,,,33.5,0,0
940,2018-01-07 16:00,8.6,216.4,.8,0,,,40.9,0,0
940,2018-01-07 17:00,7.7,0,.4,0,,,50.2,0,0
