지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
788,2017-01-01 00:00,-.1,0,.2,0,1022.6,1030.6,,0,0
788,2017-01-01 01:00,-.9,0,0,0,1022.5,1030.5,,0,0
788,2017-01-01 02:00,-.8,28.9,.6,0,1022.8,1030.8,,0,0
788,2017-01-01 03:00,-1.2,58.2,.5,0,1022.5,1030.5,,0,0
788,2017-01-01 04:00,-1.6,249.6,.8,0,1021.6,1029.7,,0,0
788,2017-01-01 05:00,-1.8,257,.8,0,1021.9,1030,,0,0
788,2017-01-01 06:00,-1.5,0,.4,0,1022,1030.1,,0,0
788,2017-01-01 07:00,-1.1,0,.2,0,1022.6,1030.6,,0,0
788,2017-01-01 08:00,-1.2,20.5,.9,0,1023,1031.1,,0,0
788,2017-01-01 09:00,.3,255.4,.5,0,1023.5,1031.5,,0,0
788,2017-01-01 10:00,3.1,261.2,.5,0,1023.8,1031.7,,0,0
788,2017-01-01 11:00,5.8,276.3,1,0,1023.4,1031.2,,0,0
788,2017-01-01 12:00,8.1,282.5,1.2,0,1022.4,1030.2,,0,0
788,2017-01-01 13:00,9.4,49,1.4,0,1021.4,1029.1,,0,0
788,2017-01-01 14:00,11,307.4,1.3,0,1020.4,1028.1,,0,0
788,2017-01-01 15:00,10.4,296.2,2,0,1019.8,1027.5,,0,0
788,2017-01-01 16:00,10.5,318.4,.9,0,1019.3,1027,,0,0
788,2017-01-01 17:00,9.2,0,.3,0,1018.6,1026.3,,0,0
788,2017-01-01 18:00,6.1,208.9,.7,0,1018.4,1026.2,,0,0
788,2017-01-01 19:00,5.1,0,.4,0,1018.3,1026.1,,0,0
788,2017-01-01 20:00,3.1,0,.2,0,1018.5,1026.4,,0,0
788,2017-01-01 21:00,2.9,90.7,.5,0,1018.5,1026.4,,0,0
788,2017-01-01 22:00,2.2,0,.2,0,1018.2,1026.1,,0,0
788,2017-01-01 23:00,2,57.1,.8,0,1017.6,1025.5,,0,0
788,2017-01-02 00:00,.5,256.5,1.2,0,1018.2,1026.2,,0,0
788,2017-01-02 01:00,3,79.4,1.9,0,1017,1024.9,,0,0
788,2017-01-02 02:00,2.8,0,.3,0,1016.5,1024.4,,0,0
788,2017-01-02 03:00,3,68.1,1,0,1016.5,1024.4,,0,0
788,2017-01-02 04:00,3.3,0,.4,0,1016.7,1024.6,,0,0
788,2017-01-02 05:00,3.2,278.3,1,0,1016.3,1024.2,,0,0
788,2017-01-02 06:00,2.4,275.2,.7,0,1015.8,1023.7,,0,0
788,2017-01-02 07:00,1.8,203.5,.6,0,1016.1,1024,,0,0
788,2017-01-02 08:00,2,262,.5,0,1015.9,1023.8,,0,0
788,2017-01-02 09:00,3.6,211.5,.7,0,1016.4,1024.2,,0,0
788,2017-01-02 10:00,6.5,312.7,.8,0,1016.6,1024.4,,0,0
788,2017-01-02 11:00,9,246,1.2,0,1016.4,1024.1,,0,0
788,2017-01-02 12:00,11.3,244.5,2.2,0,1015.8,1023.4,,0,0
788,2017-01-02 13:00,11.9,258.3,1,0,1015,1022.6,,0,0
