지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
788,2018-01-01 00:00,2,41,1.7,0,1018.2,1026.1,,0,0
788,2018-01-01 01:00,1.7,39.1,1.7,0,1018.1,1026,,0,0
788,2018-01-01 02:00,1.4,26.6,1,0,1018.4,1026.3,,0,0
788,2018-01-01 03:00,.3,25.1,.8,0,1018.9,1026.9,,0,0
788,2018-01-01 04:00,-1.6,65.5,1.1,0,1018.9,1026.9,,0,0
788,2018-01-01 05:00,-1.6,40.4,1.6,0,1018.9,1026.9,,0,0
788,2018-01-01 06:00,-2,35.4,1.5,0,1018.5,1026.5,,0,0
788,2018-01-01 07:00,-2.4,18.7,1,0,1019.1,1027.2,,0,0
788,2018-01-01 08:00,-3.1,0,.3,0,1020,1028.1,,0,0
788,2018-01-01 09:00,-.4,0,.4,0,1020.7,1028.7,,0,0
788,2018-01-01 10:00,2.4,0,.4,0,1021.3,1029.2,,0,0
788,2018-01-01 11:00,4.2,10.2,1.9,0,1021.5,1029.4,,0,0
788,2018-01-01 12:00,5.2,2.9,2,0,1020.7,1028.6,,0,0
788,2018-01-01 13:00,6.5,308,2.4,0,1019.9,1027.7,,0,0
788,2018-01-01 14:00,7.2,297.9,3,0,1019.4,1027.2,,0,0
788,2018-01-01 15:00,7,311.8,2.5,0,1019.5,1027.3,,0,0
788,2018-01-01 16:00,6,330.3,2.8,0,1020.2,1028,,0,0
788,2018-01-01 17:00,4.7,19.8,2.5,0,1019.9,1027.7,,0,0
788,2018-01-01 18:00,3.4,353.9,.8,0,1020.3,1028.2,,0,0
788,2018-01-01 19:00,2.5,15.4,1.2,0,1020.4,1028.3,,0,0
788,2018-01-01 20:00,.3,43.7,1.1,0,1020.3,1028.3,,0,0
788,2018-01-01 21:00,-.1,35.2,1.1,0,1020.6,1028.6,,0,0
788,2018-01-01 22:00,-.9,47.5,.9,0,1021.1,1029.1,,0,0
788,2018-01-01 23:00,-1.6,0,.2,0,1021.8,1029.9,,0,0
788,2018-01-02 00:00,-2.7,0,.1,0,1022.1,1030.2,,0,0
788,2018-01-02 01:00,-3.2,0,.1,0,1021.8,1029.9,,0,0
788,2018-01-02 02:00,-3.5,69.2,.9,0,1022,1030.1,,0,0
788,2018-01-02 03:00,-3.2,59.9,.9,0,1022.1,1030.2,,0,0
788,2018-01-02 04:00,-3.9,0,.4,0,1021.6,1029.7,,0,0
788,2018-01-02 05:00,-4.2,0,.1,0,1021.4,1029.5,,0,0
788,2018-01-02 06:00,-4.7,0,.4,0,1021.6,1029.8,,0,0
788,2018-01-02 07:00,-5,0,.2,0,1022.2,1030.4,,0,0
788,2018-01-02 08:00,-5.2,0,.2,0,1022.6,1030.8,,0,0
788,2018-01-02 09:00,-2.5,20,.6,0,1022.3,1030.4,,0,0
788,2018-01-02 10:00,.1,297.9,.6,0,1022.1,1030.1,,0,0
788,2018-01-02 11:00,2.5,249,1.1,0,1022.4,1030.3,,0,0
788,2018-01-02 12:00,5,118,.6,0,1021.8,1029.7,,0,0
788,2018-01-02 13:00,6.9,184.2,1.5,0,1020.8,1028.6,,0,0
788,2018-01-02 14:00,6.9,295.3,1.2,0,1020.1,1027.9,,0,0
788,2018-01-02 15:00,,,,0,,,,0,0
788,2018-01-02 16:00,7.2,299.1,1.9,0,1019.6,1027.4,,0,0
788,2018-01-02 17:00,6.8,307.7,2.8,0,1019.8,1027.6,,0,0
788,2018-01-02 18:00,6.3,304.3,2.4,0,1020.4,1028.2,,0,0
788,2018-01-02 19:00,5.6,337.8,2,0,1020.4,1028.2,,0,0
788,2018-01-02 20:00,3.9,328.1,1.5,0,1020.4,1028.3,,0,0
788,2018-01-02 21:00,2.5,320.9,1.6,0,1020,1027.9,,0,0
788,2018-01-02 22:00,1.5,308.2,1.6,0,1020.6,1028.6,,0,0
788,2018-01-02 23:00,1.1,315.9,2.2,0,1021.5,1029.5,,0,0
788,2018-01-03 00:00,.5,316,1.4,0,1021.2,1029.2,,0,0
788,2018-01-03 01:00,.1,309.9,1.8,0,1021.9,1029.9,,0,0
788,2018-01-03 02:00,-.3,328.6,.7,0,1022,1030,,0,0
788,2018-01-03 03:00,-.1,326.3,.7,0,1022.5,1030.5,,0,0
788,2018-01-03 04:00,-1.5,333.5,.9,0,1022,1030.1,,0,0
788,2018-01-03 05:00,-.9,330.6,1.3,0,1022.3,1030.3,,0,0
788,2018-01-03 06:00,-1.5,321.5,2.1,0,1022.8,1030.9,,0,0
788,2018-01-03 07:00,-2.1,352.7,2.2,0,1022.9,1031,,0,0
788,2018-01-03 08:00,-2.4,32.3,1.2,0,1023.5,1031.6,,0,0
788,2018-01-03 09:00,-1.8,71.4,2.4,0,1023.9,1032,,0,0
788,2018-01-03 10:00,-.6,61.5,3,0,1024.4,1032.4,,0,0
788,2018-01-03 11:00,1.8,.9,1.8,0,1024.2,1032.2,,0,0
788,2018-01-03 12:00,2.7,296.9,3.1,0,1023.3,1031.2,,0,0
