지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
423,2017-01-01 00:00,.2,35.3,.6,0,,,91.5,0,0
423,2017-01-01 01:00,.2,8.4,.5,0,,,91.7,0,0
423,2017-01-01 02:00,-.3,0,.1,0,,,92.9,0,0
423,2017-01-01 03:00,-.4,0,0,0,,,92.8,0,0
423,2017-01-01 04:00,-.7,0,.2,0,,,93.6,0,0
423,2017-01-01 05:00,-.6,0,0,0,,,94.2,0,0
423,2017-01-01 06:00,-1.1,350.1,.5,0,,,94.1,0,0
423,2017-01-01 07:00,-.4,0,0,0,,,94,0,0
423,2017-01-01 08:00,-.8,219.7,.6,0,,,92.9,0,0
423,2017-01-01 09:00,.9,91.4,.7,0,,,92.7,0,0
423,2017-01-01 10:00,2.3,0,.2,0,,,88.1,0,0
423,2017-01-01 11:00,4.2,119.5,1,0,,,80,0,0
423,2017-01-01 12:00,6.4,168.3,1.2,0,,,74.2,0,0
423,2017-01-01 13:00,7.2,200.8,2.7,0,,,70.6,0,0
423,2017-01-01 14:00,8,209.4,2.1,0,,,69.7,0,0
423,2017-01-01 15:00,7.3,182.3,1.6,0,,,72.3,0,0
423,2017-01-01 16:00,7.5,205.4,1.8,0,,,72.7,0,0
423,2017-01-01 17:00,7.3,207,1.8,0,,,73,0,0
423,2017-01-01 18:00,7.1,155.9,.5,0,,,74.1,0,0
423,2017-01-01 19:00,5.4,0,.2,0,,,79.7,0,0
423,2017-01-01 20:00,5.5,31.9,.7,0,,,80.9,0,0
423,2017-01-01 21:00,5.3,155.2,.7,0,,,77.9,0,0
423,2017-01-01 22:00,5.6,0,.3,0,,,78.1,0,0
423,2017-01-01 23:00,5.1,206.4,1,0,,,81,0,0
423,2017-01-02 00:00,5.1,201.9,.9,0,,,80.8,0,0
423,2017-01-02 01:00,5.4,187.5,.7,0,,,77.6,0,0
423,2017-01-02 02:00,5,197.6,.6,0,,,79.5,0,0
423,2017-01-02 03:00,4.8,207.3,1.4,0,,,81,0,0
423,2017-01-02 04:00,5.1,196.7,1.4,0,,,82.2,0,0
